"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.597168994E1,6.045160633E1,2.226518864E1,-7.910824784E0,1.470000029E0,3.243999939E2,3.790092468E0,2.500000000E0
2.697147223E1,6.045161776E1,2.226517461E1,-7.996823551E0,1.450000048E0,3.256000061E2,3.790092468E0,2.500000000E0
2.797119306E1,6.045162869E1,2.226515905E1,-8.264950366E0,1.409999967E0,3.228999939E2,3.790092468E0,2.500000000E0
2.897189801E1,6.045163910E1,2.226514033E1,-8.196527818E0,1.500000000E0,3.163999939E2,3.790092468E0,2.709966660E0
2.997147082E1,6.045164942E1,2.226511778E1,-7.203848340E0,1.539999962E0,3.100000000E2,3.790092468E0,2.840407372E0
3.097147327E1,6.045165520E1,2.226509166E1,-7.881514278E0,1.389999986E0,2.928999939E2,3.790092468E0,3.091018677E0
3.197142936E1,6.045165451E1,2.226506308E1,-7.893221384E0,1.559999943E0,2.687000122E2,3.790092468E0,3.415141344E0
3.297133775E1,6.045164894E1,2.226503433E1,-7.774188651E0,1.470000029E0,2.465000000E2,3.790092468E0,3.515268803E0
3.397190160E1,6.045164125E1,2.226500668E1,-7.183658700E0,1.570000052E0,2.401999969E2,3.790092468E0,3.678025484E0
3.497102217E1,6.045163489E1,2.226498023E1,-6.886342787E0,1.389999986E0,2.398000031E2,3.790092468E0,3.170028687E0
3.597119082E1,6.045162935E1,2.226495464E1,-6.741005166E0,1.450000048E0,2.393999939E2,3.790092468E0,2.900728464E0
3.697139764E1,6.045162377E1,2.226492895E1,-6.877405767E0,1.440000057E0,2.378000031E2,3.790092468E0,3.077844381E0
3.797147394E1,6.045161849E1,2.226490278E1,-6.786816583E0,1.480000019E0,2.385000000E2,3.790092468E0,3.294510841E0
3.897163650E1,6.045161275E1,2.226487665E1,-6.806517711E0,1.470000029E0,2.363999939E2,3.790092468E0,3.374456167E0
3.997177519E1,6.045160715E1,2.226485007E1,-6.393113262E0,1.519999981E0,2.363999939E2,3.790092468E0,3.343441248E0
4.097182009E1,6.045160176E1,2.226482435E1,-5.374057404E0,1.470000029E0,2.353999939E2,3.790092468E0,3.274465799E0
4.197102353E1,6.045159549E1,2.226479989E1,-5.857504041E0,1.490000010E0,2.340000000E2,3.790092468E0,3.209065437E0
4.297100806E1,6.045158892E1,2.226477597E1,-6.043648493E0,1.470000029E0,2.326999969E2,3.790092468E0,3.237797976E0
4.397147925E1,6.045158280E1,2.226475131E1,-6.172358798E0,1.429999948E0,2.343000031E2,3.790092468E0,3.269585848E0
4.497174493E1,6.045157720E1,2.226472716E1,-6.294966052E0,1.379999995E0,2.363000031E2,3.790092468E0,3.082259655E0
4.597128014E1,6.045157191E1,2.226470295E1,-6.153230177E0,1.399999976E0,2.371000061E2,3.790092468E0,3.066298962E0
4.697158248E1,6.045156684E1,2.226467871E1,-5.760456803E0,1.379999995E0,2.343000031E2,3.790092468E0,2.965786934E0
4.797172529E1,6.045156155E1,2.226465493E1,-5.106208891E0,1.370000005E0,2.345000000E2,3.790092468E0,3.060641289E0
4.897174628E1,6.045155623E1,2.226463030E1,-4.805720394E0,1.419999957E0,2.356999969E2,3.790092468E0,2.922421455E0
4.997102425E1,6.045155048E1,2.226460596E1,-4.040998395E0,1.419999957E0,2.353999939E2,3.790092468E0,2.953068972E0
5.097101873E1,6.045154498E1,2.226458189E1,-3.532685321E0,1.450000048E0,2.363000031E2,3.790092468E0,2.891755342E0
5.197147863E1,6.045153982E1,2.226455904E1,-3.204182471E0,1.419999957E0,2.358999939E2,3.790092468E0,2.788864136E0
5.297100185E1,6.045153396E1,2.226453666E1,-2.746284921E0,1.429999948E0,2.356999969E2,3.790092468E0,2.776881218E0
5.397169394E1,6.045152753E1,2.226451499E1,-2.380672521E0,1.470000029E0,2.331999969E2,3.790092468E0,2.711500406E0
5.497142878E1,6.045152076E1,2.226449287E1,-1.998946489E0,1.509999990E0,2.345000000E2,3.790092468E0,2.543730497E0
5.597101941E1,6.045151529E1,2.226447223E1,-2.109897481E0,1.220000029E0,2.383999939E2,3.790092468E0,2.622486830E0
5.697159873E1,6.045151030E1,2.226445192E1,-1.880577849E0,1.330000043E0,2.411000061E2,3.790092468E0,2.500000000E0
5.797179331E1,6.045150409E1,2.226442864E1,-1.488353595E0,1.460000038E0,2.403999939E2,3.790092468E0,2.500000000E0
5.897148149E1,6.045149636E1,2.226440567E1,-8.684065276E-1,1.429999948E0,2.366999969E2,3.790092468E0,2.500000000E0
5.997186446E1,6.045148845E1,2.226438674E1,-6.853506141E-1,1.190000057E0,2.346000061E2,3.790092468E0,2.695849657E0
6.097129368E1,6.045147944E1,2.226436559E1,-2.024885796E-1,1.490000010E0,2.323000031E2,3.790092468E0,2.796716213E0
6.197143206E1,6.045147083E1,2.226434195E1,1.559235533E-1,1.360000014E0,2.370000000E2,3.790092468E0,2.798474550E0
6.297134018E1,6.045146278E1,2.226431797E1,5.574873931E-1,1.549999952E0,2.386000061E2,3.790092468E0,2.871913433E0
6.397130753E1,6.045145426E1,2.226429342E1,4.674135122E-1,1.539999962E0,2.378999939E2,3.790092468E0,2.844588041E0
6.497102680E1,6.045144549E1,2.226427010E1,6.211747207E-1,1.480000019E0,2.338000031E2,3.790092468E0,2.950520992E0
6.597101721E1,6.045143641E1,2.226424744E1,1.282687290E0,1.500000000E0,2.318000031E2,3.879581451E0,3.160762310E0
6.697180966E1,6.045142720E1,2.226422464E1,1.623399199E0,1.519999981E0,2.321000061E2,3.953812361E0,3.281599522E0
6.797116581E1,6.045141795E1,2.226420155E1,2.366271888E0,1.500000000E0,2.316999969E2,3.975069046E0,3.295725107E0
6.897164414E1,6.045140910E1,2.226417929E1,2.468763186E0,1.480000019E0,2.323999939E2,4.045156479E0,3.378258467E0
6.997148003E1,6.045140068E1,2.226415715E1,2.640712228E0,1.539999962E0,2.323999939E2,4.060252666E0,3.450488567E0
7.097118398E1,6.045139294E1,2.226413475E1,2.616005756E0,1.509999990E0,2.333000031E2,3.981879711E0,3.296457767E0
7.197122565E1,6.045138558E1,2.226411214E1,2.675710796E0,1.529999971E0,2.335000000E2,3.957482100E0,3.257431746E0
7.297119726E1,6.045137828E1,2.226408957E1,2.870486590E0,1.539999962E0,2.341000061E2,3.819190502E0,3.029201269E0
7.397125841E1,6.045137125E1,2.226406800E1,3.073318494E0,1.500000000E0,2.336999969E2,3.823348284E0,3.017224789E0
7.497199570E1,6.045136497E1,2.226404666E1,3.226589380E0,1.509999990E0,2.346000061E2,3.790092468E0,2.948877096E0
7.597190023E1,6.045135841E1,2.226402558E1,3.324684524E0,1.559999943E0,2.335000000E2,3.790092468E0,2.736400127E0
7.697177091E1,6.045135174E1,2.226400444E1,3.502796837E0,1.570000052E0,2.336000061E2,3.790092468E0,2.586345196E0
7.797148622E1,6.045134509E1,2.226398255E1,3.598145765E0,1.549999952E0,2.328000031E2,3.790092468E0,2.578671932E0
7.897180127E1,6.045133872E1,2.226396153E1,3.388013250E0,1.509999990E0,2.328000031E2,3.790092468E0,2.670541763E0
7.997115106E1,6.045133241E1,2.226394016E1,3.355981429E0,1.539999962E0,2.338000031E2,3.790092468E0,2.587301254E0
8.097159007E1,6.045132628E1,2.226391833E1,3.462682610E0,1.509999990E0,2.346999969E2,3.790092468E0,2.568426371E0
8.197146476E1,6.045132408E1,2.226390253E1,3.042096705E0,7.099999785E-1,2.401999969E2,3.813138008E0,2.876199007E0
8.297180898E1,6.045132169E1,2.226388526E1,3.308095950E0,1.440000057E0,2.405000000E2,3.790092468E0,2.943351746E0
8.397148169E1,6.045131694E1,2.226386298E1,3.521058818E0,1.429999948E0,2.395000000E2,3.792414427E0,2.938866615E0
8.497140502E1,6.045131189E1,2.226384220E1,3.679394779E0,1.259999990E0,2.363000031E2,4.095901012E0,3.142640829E0
8.597120387E1,6.045130661E1,2.226382191E1,3.932701367E0,1.250000000E0,2.373000031E2,4.422429562E0,3.661878824E0
8.697101809E1,6.045129994E1,2.226379740E1,4.567113840E0,1.529999971E0,2.366999969E2,4.197261810E0,3.697537422E0
8.797174366E1,6.045129360E1,2.226377600E1,5.001146500E0,1.139999986E0,2.348000031E2,4.072061062E0,3.518002272E0
8.897183471E1,6.045128654E1,2.226375618E1,5.692625188E0,1.289999962E0,2.346000061E2,4.084482670E0,3.577457905E0
8.997131528E1,6.045127874E1,2.226373452E1,5.841624509E0,1.350000024E0,2.336999969E2,3.980985880E0,3.442265272E0
9.097116882E1,6.045127072E1,2.226371448E1,5.483787363E0,1.299999952E0,2.318000031E2,3.879430056E0,3.257065296E0
9.197143293E1,6.045126257E1,2.226369412E1,5.570347382E0,1.330000043E0,2.301999969E2,3.826571226E0,3.254949570E0
9.297129767E1,6.045125483E1,2.226367191E1,5.692064175E0,1.370000005E0,2.331999969E2,3.825963974E0,3.259904623E0
9.397188746E1,6.045124702E1,2.226365006E1,5.818053323E0,1.350000024E0,2.350000000E2,3.792568445E0,3.265694857E0
9.497129851E1,6.045123930E1,2.226362812E1,6.422558085E0,1.389999986E0,2.355000000E2,3.838193655E0,3.467864990E0
9.597147194E1,6.045123119E1,2.226360765E1,6.555810022E0,1.330000043E0,2.321999969E2,3.939388514E0,3.628435850E0
9.697184819E1,6.045122255E1,2.226358708E1,6.531042247E0,1.549999952E0,2.335000000E2,3.994084835E0,3.708083868E0
9.797128132E1,6.045121339E1,2.226356569E1,6.416797520E0,1.549999952E0,2.318999939E2,4.053182125E0,3.800793409E0
9.897147366E1,6.045120425E1,2.226354520E1,6.790162290E0,1.509999990E0,2.331999969E2,4.132940292E0,4.072565079E0
