"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.119713480E2,6.044997089E1,2.226313758E1,7.790397657E0,1.669999957E0,1.453999939E2,3.790092468E0,2.500000000E0
2.129710521E2,6.044995610E1,2.226314823E1,8.014277877E0,1.669999957E0,1.450000000E2,3.790092468E0,2.500000000E0
2.139717774E2,6.044994123E1,2.226315891E1,8.330382246E0,1.690000057E0,1.458000031E2,3.790092468E0,2.500000000E0
2.149710711E2,6.044992643E1,2.226316946E1,8.609499327E0,1.669999957E0,1.470000000E2,3.790092468E0,2.500000000E0
2.159718318E2,6.044991179E1,2.226317909E1,8.809393057E0,1.659999967E0,1.480000000E2,3.790092468E0,2.500000000E0
2.169710847E2,6.044989767E1,2.226318846E1,8.821847663E0,1.649999976E0,1.480000000E2,3.790092468E0,2.500000000E0
2.179719488E2,6.044988320E1,2.226319876E1,8.447278152E0,1.720000029E0,1.473000031E2,3.790092468E0,2.500000000E0
2.189712209E2,6.044986859E1,2.226321121E1,8.763381690E0,1.710000038E0,1.461999969E2,3.790092468E0,2.500000000E0
2.199714736E2,6.044985435E1,2.226322515E1,9.100114334E0,1.750000000E0,1.455000000E2,3.790092468E0,2.500000000E0
2.209716935E2,6.044984095E1,2.226323842E1,8.858294572E0,1.659999967E0,1.451000061E2,3.790092468E0,2.500000000E0
2.219719243E2,6.044982718E1,2.226325237E1,8.928059202E0,1.769999981E0,1.451999969E2,3.790092468E0,2.500000000E0
2.229715696E2,6.044981280E1,2.226326814E1,9.200399103E0,1.830000043E0,1.451000061E2,3.790092468E0,2.500000000E0
2.239710770E2,6.044979885E1,2.226328337E1,9.036276598E0,1.710000038E0,1.456000061E2,3.790092468E0,2.500000000E0
2.249714919E2,6.044978627E1,2.226329502E1,8.292320832E0,1.690000057E0,1.471999969E2,3.790092468E0,2.500000000E0
2.259708998E2,6.044977453E1,2.226330647E1,7.782678685E0,1.759999990E0,1.468000031E2,3.790092468E0,2.500000000E0
2.269717088E2,6.044976265E1,2.226331939E1,8.206812883E0,1.730000019E0,1.463999939E2,3.790092468E0,2.514056206E0
2.279718550E2,6.044975085E1,2.226333347E1,8.027858203E0,1.730000019E0,1.448000031E2,3.790092468E0,2.569099665E0
2.289710737E2,6.044973940E1,2.226334827E1,8.234034897E0,1.710000038E0,1.448999939E2,3.790092468E0,2.500000000E0
2.299710641E2,6.044972912E1,2.226336035E1,6.731777017E0,1.690000057E0,1.453000031E2,3.790092468E0,2.658586025E0
2.309718053E2,6.044971927E1,2.226337117E1,5.867703011E0,1.710000038E0,1.456000061E2,3.790092468E0,2.509750366E0
2.319712235E2,6.044970847E1,2.226338311E1,5.811612441E0,1.769999981E0,1.456999969E2,3.790092468E0,2.500000000E0
2.329717670E2,6.044969797E1,2.226339516E1,4.625028512E0,1.730000019E0,1.461999969E2,3.790092468E0,2.500000000E0
2.339716075E2,6.044968676E1,2.226340653E1,3.859038472E0,1.710000038E0,1.465000000E2,3.790092468E0,2.500000000E0
2.349718696E2,6.044967591E1,2.226341836E1,2.978973361E0,1.659999967E0,1.463999939E2,3.790092468E0,2.500000000E0
2.359709962E2,6.044966466E1,2.226342991E1,2.286347528E0,1.710000038E0,1.458999939E2,3.790092468E0,2.500000000E0
2.369718536E2,6.044965342E1,2.226344307E1,1.459321639E0,1.669999957E0,1.446000061E2,3.790092468E0,2.500000000E0
2.379713583E2,6.044964223E1,2.226345738E1,9.685379464E-1,1.720000029E0,1.453000031E2,3.790092468E0,2.500000000E0
2.389716142E2,6.044963074E1,2.226347409E1,1.066681679E0,1.720000029E0,1.450000000E2,3.790092468E0,2.500000000E0
2.399717189E2,6.044962077E1,2.226349687E1,1.334377906E0,1.659999967E0,1.418999939E2,3.790092468E0,2.500000000E0
2.409709873E2,6.044961462E1,2.226352636E1,1.435321502E0,1.549999952E0,1.346000061E2,3.790092468E0,2.500000000E0
2.419714320E2,6.044961166E1,2.226356029E1,1.523932628E0,1.559999943E0,1.254000015E2,3.790092468E0,2.500000000E0
2.429716112E2,6.044961236E1,2.226360104E1,1.530446921E0,1.740000010E0,1.123000031E2,3.790092468E0,2.500000000E0
2.439718617E2,6.044961523E1,2.226364189E1,1.823947383E0,1.399999976E0,1.110999985E2,3.790092468E0,2.500000000E0
