"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.521034812E1,2.024795115E-1,2.601066351E0,4.793750763E0
3.521537885E1,6.152827740E-1,2.609005928E0,4.679249763E0
3.522040958E1,1.090893984E0,2.466479778E0,4.446271896E0
3.522544031E1,1.513278961E0,2.232699871E0,4.166299820E0
3.523047104E1,1.703759670E0,1.942596912E0,3.934643745E0
3.523550177E1,1.665046215E0,1.635614395E0,3.683883667E0
3.524053250E1,1.547662735E0,1.317334652E0,3.408932686E0
3.524556323E1,1.339246273E0,9.499077797E-1,3.171805382E0
3.525059395E1,1.117602825E0,5.765397549E-1,2.905422211E0
3.525562468E1,8.444089890E-1,2.496745586E-1,2.652876854E0
3.526065541E1,5.664833784E-1,-4.565286636E-2,2.404770851E0
3.526568614E1,3.244572878E-1,-2.669899464E-1,2.170821190E0
3.527071687E1,5.282789469E-2,-4.294781685E-1,1.984672546E0
3.527574760E1,-5.082616210E-2,-5.627291203E-1,1.784323692E0
3.528077833E1,-7.148757577E-2,-6.627399921E-1,1.660806656E0
3.528580906E1,7.116794586E-3,-7.496592999E-1,1.671681404E0
3.529083979E1,2.114326954E-1,-8.342797756E-1,1.745441437E0
3.529587052E1,5.833212733E-1,-8.984577656E-1,1.887166023E0
3.530090125E1,1.194214463E0,-9.336154461E-1,1.968096733E0
3.530593198E1,1.863170385E0,-9.403834343E-1,1.974352837E0
3.531096270E1,2.481981516E0,-9.716086388E-1,1.848918915E0
3.531599343E1,3.043262482E0,-1.002986431E0,1.611130714E0
3.532102416E1,3.481821299E0,-1.019595146E0,1.342341423E0
3.532605489E1,3.847361565E0,-1.030092716E0,9.944934845E-1
3.533108562E1,4.104216576E0,-1.071546078E0,5.672597885E-1
3.533611635E1,4.197358131E0,-1.128152370E0,-2.030372620E-3
3.534114708E1,4.076177597E0,-1.179311752E0,-6.230182648E-1
3.534617781E1,3.814127922E0,-1.204454899E0,-1.248549461E0
3.535120854E1,3.541362762E0,-1.231050491E0,-1.879302502E0
3.535623927E1,3.186300039E0,-1.276915073E0,-2.463388443E0
3.536127000E1,2.762923956E0,-1.360176563E0,-3.039690971E0
3.536630072E1,2.294376612E0,-1.441551447E0,-3.580076694E0
3.537133145E1,1.817946553E0,-1.477302313E0,-4.018033981E0
3.537636218E1,1.399524689E0,-1.462334394E0,-4.339556694E0
3.538139291E1,1.014081955E0,-1.449227095E0,-4.544842243E0
3.538642364E1,6.605854034E-1,-1.438448668E0,-4.633786678E0
3.539145437E1,3.956346512E-1,-1.444949389E0,-4.654025555E0
3.539648510E1,1.758492589E-1,-1.464754343E0,-4.595612049E0
3.540151583E1,-3.264626861E-2,-1.512978315E0,-4.515589237E0
3.540654656E1,-2.113109827E-1,-1.556848526E0,-4.365750313E0
3.541157729E1,-3.654163778E-1,-1.616673470E0,-4.107312202E0
3.541660802E1,-4.760491252E-1,-1.641105175E0,-3.864101887E0
3.542163875E1,-5.916072130E-1,-1.612186909E0,-3.626000881E0
3.542666948E1,-6.842215657E-1,-1.617053509E0,-3.411712646E0
3.543170020E1,-7.735485435E-1,-1.675556898E0,-3.196989059E0
3.543673093E1,-8.933924437E-1,-1.721554518E0,-3.010177135E0
3.544176166E1,-1.048636198E0,-1.751139879E0,-2.884384632E0
3.544679239E1,-1.215454817E0,-1.750567913E0,-2.733253002E0
3.545182312E1,-1.379615784E0,-1.706203699E0,-2.613967419E0
3.545685385E1,-1.527329445E0,-1.651972294E0,-2.526412010E0
3.546188458E1,-1.659322977E0,-1.578605175E0,-2.460970879E0
3.546691531E1,-1.762076616E0,-1.495774746E0,-2.432042122E0
3.547194604E1,-1.807483435E0,-1.389078140E0,-2.396657944E0
3.547697677E1,-1.848605633E0,-1.301518917E0,-2.402738571E0
3.548200750E1,-1.847394943E0,-1.156414986E0,-2.392932892E0
3.548703822E1,-1.760717392E0,-9.918529987E-1,-2.410391808E0
3.549206895E1,-1.597399473E0,-7.309281826E-1,-2.493429184E0
3.549709968E1,-1.400352836E0,-4.208025932E-1,-2.541830063E0
3.550213041E1,-1.164603710E0,-1.324064732E-1,-2.613357067E0
3.550716114E1,-8.990826011E-1,1.112909317E-1,-2.713081837E0
3.551219187E1,-6.843127012E-1,3.303637505E-1,-2.764760494E0
3.551722260E1,-5.146511793E-1,5.447511673E-1,-2.749594212E0
3.552225333E1,-4.082523584E-1,7.073974609E-1,-2.710981846E0
3.552728406E1,-3.261409998E-1,8.141469955E-1,-2.567871571E0
3.553231479E1,-2.492202520E-1,8.989009857E-1,-2.306222916E0
3.553734552E1,-1.631143093E-1,9.428758621E-1,-2.050686836E0
3.554237625E1,-8.647316694E-2,9.846096039E-1,-1.739170551E0
3.554740698E1,-3.817948699E-2,1.004863739E0,-1.333432198E0
3.555243770E1,-3.265082836E-3,9.892148972E-1,-9.004797935E-1
3.555746843E1,5.250951648E-2,9.707145691E-1,-4.640169144E-1
3.556249916E1,1.156394780E-1,9.203362465E-1,-4.738807678E-3
3.556752989E1,1.818965673E-1,9.379863739E-1,4.393358231E-1
3.557256062E1,2.710188031E-1,9.609375000E-1,8.301916122E-1
3.557759135E1,4.025307894E-1,9.982790947E-1,1.182458878E0
3.558262208E1,5.285045505E-1,1.059190273E0,1.458080292E0
3.558765281E1,6.340817213E-1,1.129110336E0,1.714600563E0
3.559268354E1,7.427430153E-1,1.217420101E0,1.918622017E0
3.559771427E1,8.253801465E-1,1.300152302E0,2.017603874E0
3.560274500E1,8.336775303E-1,1.382107258E0,2.078609467E0
3.560777572E1,7.818140984E-1,1.444350719E0,2.077674866E0
3.561280645E1,6.980456114E-1,1.453662395E0,2.072141647E0
3.561783718E1,6.251032948E-1,1.439179420E0,2.023565292E0
3.562286791E1,5.243681669E-1,1.382358551E0,1.931726456E0
3.562789864E1,4.098755419E-1,1.274056911E0,1.839532852E0
3.563292937E1,2.810153961E-1,1.124361038E0,1.794563293E0
3.563796010E1,2.042236626E-1,9.338312149E-1,1.853882790E0
3.564299083E1,1.171538830E-1,7.026457787E-1,1.964688301E0
3.564802156E1,-8.486449718E-3,4.548411369E-1,2.112553596E0
3.565305229E1,-1.811595559E-1,2.091655731E-1,2.374196053E0
3.565808302E1,-4.333404899E-1,1.758098602E-2,2.682877541E0
3.566311375E1,-7.921754122E-1,-9.691286087E-2,2.943369865E0
3.566814448E1,-1.218091011E0,-1.451756954E-1,3.161156654E0
3.567317520E1,-1.596599817E0,-9.507989883E-2,3.289063454E0
3.567820593E1,-1.772562385E0,7.150411606E-2,3.360959053E0
3.568323666E1,-1.759870172E0,2.678809166E-1,3.472538948E0
3.568826739E1,-1.615963936E0,4.028673172E-1,3.575751305E0
3.569329812E1,-1.372594118E0,4.860711098E-1,3.613023758E0
3.569832885E1,-1.035461664E0,5.655298233E-1,3.608226776E0
3.570335958E1,-5.706501603E-1,6.556220055E-1,3.575825691E0
3.570839031E1,-6.299620867E-2,7.852168083E-1,3.539848328E0
3.571342104E1,4.894237220E-1,8.542151451E-1,3.419033051E0
3.571845177E1,9.744297266E-1,8.395643234E-1,3.179876328E0
3.572348250E1,1.299020767E0,7.469720840E-1,2.889280319E0
3.572851322E1,1.389347553E0,6.348767281E-1,2.561333656E0
3.573354395E1,1.228562117E0,5.089855194E-1,2.219620705E0
3.573857468E1,8.997499347E-1,4.228925705E-1,1.825427055E0
3.574360541E1,5.568888187E-1,3.725056648E-1,1.502751350E0
3.574863614E1,2.574473619E-1,3.108415604E-1,1.188825607E0
3.575366687E1,3.424465656E-2,2.527890205E-1,9.167747498E-1
3.575869760E1,-1.037603766E-1,1.844410896E-1,7.006082535E-1
3.576372833E1,-2.051724494E-1,1.201863289E-1,5.497570038E-1
3.576875906E1,-2.847286463E-1,6.938362122E-2,4.594259262E-1
3.577378979E1,-3.665243387E-1,2.675485611E-2,4.010667801E-1
3.577882052E1,-4.173071384E-1,-2.262544632E-2,3.749132156E-1
3.578385125E1,-4.518333375E-1,-7.941007614E-2,3.573369980E-1
3.578888198E1,-5.280494690E-1,-9.628534317E-2,3.629312515E-1
3.579391270E1,-5.748012662E-1,-8.343076706E-2,3.441171646E-1
3.579894343E1,-5.875566602E-1,-7.482910156E-2,2.915945053E-1
3.580397416E1,-6.003337502E-1,-4.206228256E-2,2.294540405E-1
3.580900489E1,-6.420204639E-1,-2.838993073E-2,1.625823975E-1
3.581403562E1,-6.555750370E-1,-4.841947556E-2,1.437263489E-1
3.581906635E1,-6.317808032E-1,-9.278011322E-2,1.346826553E-1
3.582409708E1,-5.322198868E-1,-1.662735939E-1,1.306810379E-1
3.582912781E1,-4.327577949E-1,-2.736463547E-1,9.824466705E-2
3.583415854E1,-3.227242231E-1,-3.862111568E-1,5.657100677E-2
3.583918927E1,-2.582471967E-1,-5.230014324E-1,-4.219341278E-2
3.584422000E1,-1.947870702E-1,-6.695003510E-1,-2.076044083E-1
3.584925073E1,-1.791492403E-1,-8.444902897E-1,-4.253854752E-1
3.585428145E1,-1.913155615E-1,-1.023687124E0,-6.717014313E-1
3.585931218E1,-2.308959663E-1,-1.225731850E0,-9.993338585E-1
3.586434291E1,-3.027525544E-1,-1.392769575E0,-1.322270393E0
3.586937364E1,-3.735796809E-1,-1.538798809E0,-1.655003071E0
3.587440432E1,-4.484204054E-1,-1.677894592E0,-2.007168293E0
3.587943500E1,-5.471541882E-1,-1.790687323E0,-2.316634178E0
3.588446567E1,-6.419534683E-1,-1.929712057E0,-2.588235378E0
3.588949635E1,-7.338137627E-1,-2.066285133E0,-2.821960926E0
3.589452703E1,-8.238484859E-1,-2.200551748E0,-2.989079952E0
3.589955770E1,-9.895638227E-1,-2.294458389E0,-3.156537056E0
3.590458838E1,-1.121842504E0,-2.386585236E0,-3.252488136E0
3.590961906E1,-1.245754957E0,-2.443637371E0,-3.305685997E0
3.591464974E1,-1.410474777E0,-2.475714684E0,-3.249096870E0
3.591968041E1,-1.535764217E0,-2.478620052E0,-3.144884109E0
3.592471109E1,-1.545597076E0,-2.491368294E0,-3.007210255E0
3.592974177E1,-1.464476824E0,-2.476305008E0,-2.845500469E0
3.593477244E1,-1.307019711E0,-2.457920074E0,-2.659617901E0
3.593980312E1,-1.140228987E0,-2.403407574E0,-2.458918571E0
3.594483380E1,-9.399870038E-1,-2.308561802E0,-2.286273003E0
3.594986448E1,-7.105079889E-1,-2.173898458E0,-2.184483528E0
3.595489515E1,-4.707626104E-1,-1.999637842E0,-2.048197269E0
3.595992583E1,-2.255184650E-1,-1.790876150E0,-1.929980755E0
3.596495651E1,3.018093109E-2,-1.566794872E0,-1.868073940E0
3.596998718E1,2.821948528E-1,-1.355817318E0,-1.876871586E0
3.597501786E1,5.117057562E-1,-1.124226093E0,-1.913316250E0
3.598004854E1,6.902458072E-1,-8.906493187E-1,-2.044532299E0
3.598507921E1,8.563998938E-1,-6.349425316E-1,-2.208632469E0
3.599010989E1,8.998454809E-1,-3.518581390E-1,-2.214509964E0
3.599514057E1,9.255812168E-1,-7.424712181E-2,-2.196566582E0
3.600017125E1,9.817003012E-1,1.600189209E-1,-2.121481895E0
3.600520192E1,1.068636417E0,3.895065784E-1,-2.022853374E0
3.601023260E1,1.191735625E0,5.666604042E-1,-1.886416912E0
3.601526328E1,1.289662361E0,7.444679737E-1,-1.736189365E0
3.602029395E1,1.387432814E0,9.041547775E-1,-1.534002304E0
3.602532468E1,1.495669365E0,1.079370499E0,-1.327743530E0
3.603035541E1,1.539089203E0,1.260678530E0,-1.146107674E0
3.603538614E1,1.547653675E0,1.414538622E0,-1.008117199E0
3.604041687E1,1.536743641E0,1.564991474E0,-8.563356400E-1
3.604544760E1,1.520990372E0,1.673773050E0,-6.620864868E-1
3.605047833E1,1.485564470E0,1.822095394E0,-4.062747955E-1
3.605550906E1,1.382012963E0,1.985855818E0,-1.272163391E-1
3.606053979E1,1.262338161E0,2.131124735E0,7.477664948E-2
3.606557052E1,1.231506348E0,2.229042768E0,2.907352448E-1
3.607060125E1,1.188550830E0,2.293649912E0,5.064315796E-1
3.607563198E1,1.108909369E0,2.291316748E0,7.267007828E-1
3.608066270E1,9.970523119E-1,2.245849609E0,9.420347214E-1
3.608569343E1,8.720312119E-1,2.219123125E0,1.176497459E0
3.609072416E1,7.770876884E-1,2.143910885E0,1.358447075E0
3.609575489E1,7.170073986E-1,2.034371614E0,1.511971474E0
3.610078562E1,7.108912468E-1,1.895179749E0,1.575003624E0
3.610581635E1,7.007480264E-1,1.760098696E0,1.600125313E0
3.611084708E1,6.473718286E-1,1.638878584E0,1.673327446E0
3.611587781E1,5.547295809E-1,1.517476797E0,1.760878563E0
3.612090854E1,4.654135108E-1,1.371860266E0,1.838862419E0
3.612593927E1,3.649420142E-1,1.202188015E0,1.959826469E0
3.613097000E1,2.865193784E-1,1.003682137E0,2.166744232E0
3.613600072E1,2.493378222E-1,8.192551136E-1,2.421319008E0
3.614103145E1,2.685171962E-1,6.629385948E-1,2.632805824E0
3.614606218E1,2.358113527E-1,4.914684296E-1,2.777548790E0
3.615109291E1,1.530072391E-1,3.284304142E-1,2.836771011E0
3.615612364E1,4.954767227E-2,2.598004341E-1,2.786766052E0
3.616115437E1,-4.595524073E-2,2.426307201E-1,2.641932487E0
3.616618510E1,-1.635996103E-1,2.774395943E-1,2.488140106E0
3.617121583E1,-3.248932362E-1,3.172054291E-1,2.324851990E0
3.617624656E1,-5.179043412E-1,3.624866009E-1,2.213818550E0
3.618127729E1,-6.387602687E-1,4.423992634E-1,2.121190071E0
3.618630802E1,-6.120047569E-1,4.952766895E-1,2.113575935E0
3.619133875E1,-5.150296688E-1,5.547726154E-1,2.243357658E0
3.619636948E1,-2.667985559E-1,6.256296635E-1,2.519938469E0
3.620140020E1,1.136403680E-1,6.359064579E-1,2.895437241E0
3.620643093E1,5.413155556E-1,5.566248894E-1,3.298281670E0
3.621146166E1,8.607558012E-1,3.921730518E-1,3.690606117E0
3.621649239E1,1.051226854E0,2.041769028E-1,4.025102615E0
3.622152312E1,1.053708076E0,3.019881248E-2,4.264080048E0
3.622655385E1,9.326040745E-1,-1.349747181E-1,4.355325699E0
3.623158458E1,7.752178311E-1,-2.964000702E-1,4.260906219E0
3.623661531E1,4.956191480E-1,-4.108028412E-1,4.100502968E0
3.624164604E1,9.338515997E-2,-5.068073273E-1,3.912360191E0
3.624667677E1,-3.656882644E-1,-5.796053410E-1,3.648589134E0
3.625170750E1,-7.729740143E-1,-6.579718590E-1,3.357047081E0
3.625673822E1,-1.097006321E0,-7.323822975E-1,3.114189148E0
3.626176895E1,-1.359610200E0,-8.125534058E-1,2.919840813E0
3.626679968E1,-1.496170521E0,-8.795931339E-1,2.769089699E0
3.627183041E1,-1.585392714E0,-9.530839920E-1,2.685813904E0
3.627686114E1,-1.542776942E0,-1.014512539E0,2.698757172E0
3.628189187E1,-1.259325743E0,-1.093488455E0,2.722030640E0
3.628692260E1,-7.065988779E-1,-1.142563105E0,2.808425903E0
3.629195333E1,-1.323831081E-2,-1.181416035E0,2.852974892E0
3.629698406E1,7.073692083E-1,-1.200637102E0,2.798578262E0
3.630201479E1,1.342533588E0,-1.214493513E0,2.664659500E0
3.630704552E1,1.880170107E0,-1.270448446E0,2.460924149E0
3.631207625E1,2.278309584E0,-1.329901457E0,2.192224503E0
3.631710698E1,2.576782703E0,-1.363597393E0,1.781999588E0
3.632213770E1,2.863660812E0,-1.361099720E0,1.301879883E0
3.632716843E1,3.006457567E0,-1.340656519E0,7.276954651E-1
3.633219916E1,3.030403852E0,-1.358417749E0,8.293914795E-2
3.633722989E1,2.926627159E0,-1.355651379E0,-5.850734711E-1
3.634226062E1,2.752686501E0,-1.316553593E0,-1.262682915E0
3.634729135E1,2.446249008E0,-1.273418188E0,-1.888329983E0
3.635232208E1,2.069171190E0,-1.230009317E0,-2.467399597E0
3.635735281E1,1.650052309E0,-1.228679895E0,-3.019448757E0
3.636238354E1,1.217307448E0,-1.216510057E0,-3.429898262E0
3.636741427E1,8.181416392E-1,-1.169492960E0,-3.746832371E0
3.637244500E1,4.424658418E-1,-1.116720676E0,-4.008473873E0
3.637747573E1,4.649254680E-2,-1.068119049E0,-4.157348633E0
3.638250645E1,-3.084644377E-1,-1.019630432E0,-4.236306190E0
3.638753718E1,-5.851953030E-1,-9.625616074E-1,-4.240263939E0
3.639256791E1,-7.947203517E-1,-8.977909088E-1,-4.173742294E0
3.639759864E1,-9.244914055E-1,-8.166294098E-1,-4.026947498E0
3.640262937E1,-9.758965373E-1,-7.631461620E-1,-3.823514462E0
3.640766010E1,-1.007292032E0,-7.716352940E-1,-3.587113380E0
3.641269083E1,-9.518077970E-1,-8.381829262E-1,-3.307826042E0
3.641772156E1,-8.188493848E-1,-9.347681999E-1,-3.095375538E0
3.642275229E1,-7.370375395E-1,-1.033453941E0,-2.729321003E0
3.642778302E1,-7.392159700E-1,-1.125847578E0,-2.434089661E0
3.643281375E1,-7.476411462E-1,-1.222072840E0,-2.204511642E0
3.643784448E1,-7.422720790E-1,-1.332378387E0,-2.059281826E0
3.644287520E1,-6.896598339E-1,-1.423471451E0,-1.974302769E0
3.644790593E1,-6.567920446E-1,-1.471361637E0,-1.939976215E0
3.645293666E1,-6.199363470E-1,-1.476058960E0,-1.980171680E0
3.645796739E1,-5.649822950E-1,-1.423076630E0,-2.061402798E0
3.646299812E1,-4.871698022E-1,-1.326584101E0,-2.241093636E0
3.646802885E1,-3.720002770E-1,-1.176470995E0,-2.457171440E0
3.647305958E1,-2.002497911E-1,-1.024693012E0,-2.724220753E0
3.647809031E1,-2.416610718E-2,-8.415117264E-1,-3.047379494E0
3.648312104E1,6.579059362E-2,-6.402266026E-1,-3.355289459E0
3.648815177E1,1.035784483E-1,-4.388775826E-1,-3.619760036E0
3.649318250E1,9.913498163E-2,-2.412955761E-1,-3.826926708E0
3.649821322E1,4.773986340E-2,-2.761077881E-2,-3.958094597E0
3.650324395E1,-5.072784424E-2,1.595544815E-1,-4.013602257E0
3.650827468E1,-1.196611524E-1,3.300457001E-1,-4.041508675E0
3.651330541E1,-1.685936451E-1,4.410152435E-1,-4.032386780E0
3.651833614E1,-2.314714789E-1,5.213899612E-1,-3.952938080E0
3.652336687E1,-3.089087605E-1,5.901308060E-1,-3.803215504E0
3.652839760E1,-3.683413863E-1,6.374630928E-1,-3.535458088E0
3.653342833E1,-3.867633343E-1,7.107882500E-1,-3.202277184E0
3.653845906E1,-4.128158689E-1,8.096251488E-1,-2.827512264E0
3.654348979E1,-4.040046930E-1,9.285893440E-1,-2.363152504E0
3.654852052E1,-3.463974595E-1,1.052695274E0,-1.823376179E0
3.655355125E1,-2.401945591E-1,1.181519508E0,-1.260675430E0
3.655858198E1,-5.165547132E-2,1.319331169E0,-7.082629204E-1
3.656361270E1,2.151916027E-1,1.456011295E0,-1.801223755E-1
3.656864343E1,5.373328328E-1,1.572153091E0,2.474861145E-1
3.657367416E1,8.727475405E-1,1.658217907E0,6.178112030E-1
3.657870489E1,1.126747370E0,1.752686501E0,8.974266052E-1
3.658373562E1,1.223382473E0,1.832111835E0,1.114927292E0
3.658876630E1,1.206382036E0,1.882580757E0,1.255858421E0
3.659379698E1,1.147833347E0,1.909630775E0,1.348648071E0
3.659882765E1,1.047877312E0,1.894962788E0,1.397723198E0
3.660385833E1,9.450066090E-1,1.839216709E0,1.421963692E0
3.660888901E1,8.872072697E-1,1.776656151E0,1.487971306E0
3.661391968E1,8.505299091E-1,1.669487000E0,1.643272400E0
3.661895036E1,8.448590040E-1,1.551294327E0,1.878170967E0
3.662398104E1,8.326143622E-1,1.393304348E0,2.120903969E0
3.662901171E1,7.857391834E-1,1.252588272E0,2.390806198E0
3.663404239E1,7.430765033E-1,1.114173889E0,2.635570526E0
3.663907307E1,7.000350952E-1,1.039680958E0,2.869873047E0
3.664410375E1,6.090601683E-1,9.616756439E-1,3.031781197E0
3.664913442E1,3.891088367E-1,8.892202377E-1,3.107324600E0
3.665416510E1,-2.680906653E-2,8.600368500E-1,3.082547188E0
3.665919578E1,-5.205321312E-1,8.734126091E-1,2.976978302E0
3.666422645E1,-9.035520554E-1,9.482684135E-1,2.891098022E0
3.666925713E1,-1.050852776E0,1.031783104E0,2.853424072E0
3.667428781E1,-1.023567557E0,1.090946674E0,2.916047096E0
3.667931848E1,-8.145223260E-1,1.068433762E0,3.040410995E0
3.668434916E1,-4.813576639E-1,9.690942764E-1,3.212097168E0
3.668937984E1,-4.143676162E-2,8.311119080E-1,3.392994881E0
3.669441052E1,4.355763197E-1,6.448879242E-1,3.568937302E0
3.669944119E1,8.662536144E-1,4.728031158E-1,3.735244751E0
3.670447187E1,1.104734659E0,2.960171700E-1,3.834520340E0
3.670950255E1,1.067929745E0,1.050629616E-1,3.876490593E0
3.671453323E1,9.116361737E-1,-1.190495491E-1,3.756035805E0
3.671956390E1,5.956327319E-1,-3.379552364E-1,3.497318268E0
3.672459458E1,2.028756440E-1,-5.420393944E-1,3.114867210E0
3.672962526E1,-1.992858350E-1,-6.640686989E-1,2.608706474E0
3.673465593E1,-6.019073725E-1,-7.038381100E-1,2.079280853E0
3.673968661E1,-1.011472821E0,-7.184865475E-1,1.574260712E0
3.674471729E1,-1.339407682E0,-7.271134853E-1,1.136581421E0
3.674974796E1,-1.602378607E0,-7.203752995E-1,7.518482208E-1
3.675477869E1,-1.812061787E0,-6.988933086E-1,4.345359802E-1
3.675980942E1,-1.798280597E0,-6.823093891E-1,1.655492783E-1
3.676484015E1,-1.691959381E0,-7.000644207E-1,-7.885742188E-2
3.676987088E1,-1.566176176E0,-7.045414448E-1,-2.987174988E-1
3.677490161E1,-1.441102982E0,-6.578810215E-1,-3.696594238E-1
3.677993234E1,-1.384659767E0,-5.749304295E-1,-3.491687775E-1
3.678496307E1,-1.425660610E0,-4.944100380E-1,-3.280887604E-1
3.678999380E1,-1.529984832E0,-4.406614304E-1,-3.588190079E-1
3.679502453E1,-1.610717058E0,-4.041514397E-1,-3.886098862E-1
3.680005526E1,-1.676958203E0,-3.704862595E-1,-3.791770935E-1
3.680508599E1,-1.675543547E0,-3.680205345E-1,-3.689250946E-1
3.681011671E1,-1.653756380E0,-3.819370270E-1,-3.866806030E-1
3.681514744E1,-1.601118326E0,-3.972468376E-1,-4.852104187E-1
3.682017817E1,-1.530783653E0,-3.800010681E-1,-5.784454346E-1
3.682520890E1,-1.341510534E0,-3.536162376E-1,-6.809206009E-1
3.683023963E1,-1.080370188E0,-3.222227097E-1,-7.976493835E-1
3.683527036E1,-7.807914019E-1,-3.138642311E-1,-8.762998581E-1
3.684030109E1,-5.001188517E-1,-2.897913456E-1,-9.075641632E-1
3.684533182E1,-2.572175860E-1,-2.543075085E-1,-9.682393074E-1
3.685036255E1,-9.452804923E-2,-2.359149456E-1,-9.435877800E-1
3.685539328E1,8.154034615E-3,-2.774951458E-1,-9.198274612E-1
3.686042401E1,1.091488898E-1,-3.789782524E-1,-8.969259262E-1
3.686545474E1,1.760892570E-1,-5.021910667E-1,-8.939037323E-1
3.687048546E1,2.004651129E-1,-6.376988888E-1,-9.010648727E-1
3.687551619E1,1.541702598E-1,-7.809538841E-1,-8.847885132E-1
3.688054692E1,9.499323368E-2,-9.226880074E-1,-9.310235977E-1
3.688557765E1,-1.057487726E-2,-1.072869062E0,-1.034711361E0
3.689060838E1,-1.387543380E-1,-1.226959705E0,-1.166950226E0
3.689563911E1,-2.904029489E-1,-1.375743628E0,-1.384933472E0
3.690066984E1,-4.617654383E-1,-1.495573759E0,-1.602370262E0
3.690570057E1,-6.159610152E-1,-1.586737633E0,-1.828754902E0
3.691073130E1,-7.688889503E-1,-1.630508184E0,-2.059197903E0
3.691576203E1,-8.596755862E-1,-1.665282249E0,-2.241129875E0
3.692079276E1,-8.992016912E-1,-1.691423416E0,-2.431932449E0
3.692582348E1,-8.642411828E-1,-1.690014601E0,-2.612444878E0
3.693085421E1,-8.415716290E-1,-1.684959888E0,-2.782766819E0
3.693588494E1,-8.076475859E-1,-1.681052208E0,-2.957312107E0
3.694091567E1,-7.673740983E-1,-1.663863420E0,-3.121801376E0
3.694594640E1,-6.971051097E-1,-1.628442764E0,-3.309848785E0
3.695097713E1,-5.876595974E-1,-1.603280783E0,-3.454619408E0
3.695600786E1,-4.344363809E-1,-1.530667305E0,-3.570678711E0
3.696103859E1,-2.711669803E-1,-1.424653769E0,-3.653461933E0
3.696606932E1,-8.819162846E-2,-1.299315453E0,-3.727056980E0
3.697110005E1,6.224590540E-2,-1.168844223E0,-3.748480320E0
3.697613078E1,1.854918003E-1,-1.042431355E0,-3.789646626E0
3.698116151E1,3.347567320E-1,-9.293076992E-1,-3.721491337E0
3.698619224E1,4.528948665E-1,-8.245091438E-1,-3.568099022E0
3.699122296E1,5.213356614E-1,-7.326512337E-1,-3.406108856E0
3.699625369E1,5.265053511E-1,-6.491429806E-1,-3.240155220E0
3.700128442E1,5.314819217E-1,-5.501220226E-1,-3.041448116E0
3.700631515E1,5.461592078E-1,-4.645314217E-1,-2.824247837E0
3.701134588E1,5.607502460E-1,-3.685405254E-1,-2.578980446E0
3.701637661E1,5.843631625E-1,-2.622516155E-1,-2.305672646E0
3.702140734E1,6.260732412E-1,-1.508393288E-1,-2.013792515E0
3.702643807E1,6.902678609E-1,-1.011371613E-3,-1.708092213E0
3.703146880E1,7.242643237E-1,1.436364651E-1,-1.354894638E0
3.703649953E1,7.476109862E-1,2.683486938E-1,-1.044923306E0
3.704153026E1,7.655031085E-1,4.111387730E-1,-7.923326492E-1
3.704656098E1,8.021714687E-1,5.432004929E-1,-5.204772949E-1
3.705159171E1,8.245236874E-1,6.789944172E-1,-3.011369705E-1
3.705662244E1,7.759049535E-1,8.664414883E-1,-1.533832550E-1
3.706165317E1,6.859498620E-1,1.019726276E0,-3.418064117E-2
3.706668390E1,6.511443853E-1,1.158253193E0,3.731250763E-2
3.707171463E1,6.000087857E-1,1.292287350E0,1.134910583E-1
3.707674536E1,5.612655282E-1,1.374684334E0,1.892890930E-1
3.708177609E1,5.010723472E-1,1.482509613E0,3.362312317E-1
3.708680682E1,3.952896893E-1,1.553889513E0,5.923490524E-1
3.709183755E1,3.203067183E-1,1.593685389E0,9.383583069E-1
3.709686828E1,2.475326061E-1,1.587486744E0,1.321599960E0
3.710189901E1,1.295552850E-1,1.568432570E0,1.737429619E0
3.710692974E1,5.253517628E-2,1.516972780E0,2.138163567E0
3.711196046E1,2.139693499E-2,1.461703539E0,2.504770279E0
3.711699119E1,-4.561284184E-2,1.354610920E0,2.866050720E0
3.712202192E1,-1.009843051E-1,1.214485645E0,3.212595940E0
3.712705265E1,-1.163090169E-1,1.060241938E0,3.558864594E0
3.713208338E1,-1.107741296E-1,9.295601845E-1,3.833348274E0
3.713711411E1,-1.654570103E-1,8.457851410E-1,4.103305817E0
3.714214484E1,-2.422037125E-1,7.987396717E-1,4.349807739E0
3.714717557E1,-3.319263458E-1,7.541980743E-1,4.592234612E0
3.715220630E1,-4.539361596E-1,7.402386665E-1,4.739928246E0
3.715723703E1,-6.175144911E-1,7.177977562E-1,4.783720970E0
3.716226776E1,-8.031697273E-1,7.341895103E-1,4.690465927E0
3.716729843E1,-1.001745939E0,7.839908600E-1,4.484430313E0
3.717232911E1,-1.215056777E0,9.006388187E-1,4.275621414E0
3.717735979E1,-1.364618778E0,1.060281515E0,4.030298233E0
3.718239046E1,-1.419587374E0,1.244256496E0,3.805501938E0
3.718742114E1,-1.377441645E0,1.381132841E0,3.639161110E0
3.719245182E1,-1.229833126E0,1.509577751E0,3.454470634E0
3.719748250E1,-8.243340254E-1,1.620373726E0,3.246537209E0
3.720251317E1,-2.092153430E-1,1.714285374E0,3.172989845E0
3.720754385E1,5.149100423E-1,1.772972822E0,3.228687286E0
