"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.920768920E-1,1.179623604E-1,1.003151417E0,-4.698200226E-1
3.971077780E-1,-7.788062096E-3,1.033504486E0,-4.165668488E-1
4.021386630E-1,-1.368755102E-1,1.064405918E0,-2.603816986E-1
4.071695490E-1,-2.516809702E-1,1.062247992E0,-3.093814850E-2
4.122004340E-1,-3.347543478E-1,1.026839733E0,1.763257980E-1
4.172313190E-1,-3.729304075E-1,9.912755489E-1,3.807086945E-1
4.222622050E-1,-3.571299314E-1,9.366314411E-1,5.539684296E-1
4.272930900E-1,-3.587481976E-1,9.150798321E-1,7.392044067E-1
4.323239760E-1,-2.776968479E-1,9.263086319E-1,9.364204407E-1
4.373548610E-1,-1.381678581E-1,9.369134903E-1,1.098261833E0
4.423857470E-1,-1.591551304E-2,9.376368523E-1,1.206310272E0
4.474166320E-1,6.609976292E-2,9.146289825E-1,1.351163864E0
4.524475170E-1,7.532334328E-2,8.685274124E-1,1.513391495E0
4.574784030E-1,3.088712692E-3,8.185818195E-1,1.664410591E0
4.625092880E-1,-1.309401989E-1,7.318460941E-1,1.742726326E0
4.675401740E-1,-2.879796028E-1,6.325771809E-1,1.758595467E0
4.725710590E-1,-4.433706999E-1,5.307216644E-1,1.717430115E0
4.776019440E-1,-5.865049362E-1,4.643337727E-1,1.648400307E0
4.826328300E-1,-7.114038467E-1,4.712080956E-1,1.594548225E0
4.876637150E-1,-7.889252901E-1,5.220994949E-1,1.536907196E0
4.926946010E-1,-8.003742695E-1,6.023929119E-1,1.522894859E0
4.977254860E-1,-7.566987276E-1,6.548433304E-1,1.575644493E0
5.027563720E-1,-6.743245125E-1,6.511368752E-1,1.689533234E0
5.077872570E-1,-5.273507833E-1,5.635037422E-1,1.792472839E0
5.128181420E-1,-3.373137712E-1,4.359848499E-1,1.869872093E0
5.178490280E-1,-1.539460421E-1,2.981591225E-1,1.902495384E0
5.228799130E-1,-4.967319965E-2,1.744494438E-1,1.909392357E0
5.279107990E-1,-4.830574989E-2,3.198766708E-2,1.919086456E0
5.329416840E-1,-1.210595369E-1,-1.000936031E-1,1.959893227E0
5.379725690E-1,-2.530964613E-1,-2.691276073E-1,2.026897430E0
5.430034550E-1,-4.244463444E-1,-4.083204269E-1,2.034745216E0
5.480343400E-1,-5.859436989E-1,-5.419359207E-1,2.074606895E0
5.530652260E-1,-7.406630516E-1,-6.277456284E-1,2.089808464E0
5.580961110E-1,-9.241914749E-1,-6.335017681E-1,2.104892731E0
5.631269970E-1,-1.138204813E0,-5.370650291E-1,2.087283134E0
5.681578820E-1,-1.332165480E0,-3.591957092E-1,2.094737053E0
5.731887670E-1,-1.475608349E0,-1.349859238E-1,2.117982864E0
5.782196530E-1,-1.548428535E0,6.743216515E-2,2.095527649E0
5.832505380E-1,-1.573944330E0,3.183636665E-1,2.013732910E0
5.882813720E-1,-1.575723171E0,4.883725643E-1,1.835207939E0
5.933122050E-1,-1.558542490E0,5.875320435E-1,1.579625130E0
5.983430380E-1,-1.518449545E0,6.260449886E-1,1.294883728E0
6.033738720E-1,-1.485146761E0,5.571913719E-1,9.999532700E-1
6.084047050E-1,-1.489028931E0,4.205677509E-1,7.135038376E-1
6.134355380E-1,-1.479944944E0,2.646584511E-1,5.443334579E-1
6.184663720E-1,-1.427508354E0,8.497500420E-2,4.627027512E-1
6.234972050E-1,-1.334672451E0,-1.375429630E-1,4.249610901E-1
6.285280380E-1,-1.232438564E0,-3.697623014E-1,3.878831863E-1
6.335588720E-1,-1.160690308E0,-5.694117546E-1,3.941373825E-1
6.385897050E-1,-1.138801813E0,-6.520524025E-1,3.959531784E-1
6.436205380E-1,-1.099188209E0,-6.431837082E-1,3.887948990E-1
6.486513720E-1,-1.041151047E0,-5.586421490E-1,3.966913223E-1
6.536822050E-1,-9.827729464E-1,-4.284281731E-1,4.197444916E-1
6.587130380E-1,-9.420736432E-1,-3.060736656E-1,4.675579071E-1
6.637438720E-1,-8.750328422E-1,-2.064714432E-1,4.260864258E-1
6.687747050E-1,-7.857610583E-1,-1.486957073E-1,3.388538361E-1
6.738055380E-1,-6.927562356E-1,-1.134051085E-1,1.682157516E-1
6.788363720E-1,-5.720124841E-1,-1.570746899E-1,-9.001922607E-2
6.838672050E-1,-4.283327460E-1,-2.351723909E-1,-4.068880081E-1
6.888980380E-1,-2.857374549E-1,-3.130135536E-1,-7.061262131E-1
6.939288720E-1,-1.205831170E-1,-3.417805433E-1,-1.002360344E0
6.989597050E-1,5.270588398E-2,-3.634779453E-1,-1.314835548E0
7.039905380E-1,2.198162079E-1,-4.626512527E-1,-1.572332382E0
7.090213720E-1,3.616187871E-1,-6.188322306E-1,-1.851496696E0
7.140522050E-1,3.979031444E-1,-7.975122929E-1,-2.114303589E0
7.190830380E-1,3.969564438E-1,-9.599490762E-1,-2.337204933E0
7.241138720E-1,3.739781678E-1,-1.134456396E0,-2.482529640E0
7.291447050E-1,3.107943535E-1,-1.330405951E0,-2.641207218E0
7.341755380E-1,1.561343819E-1,-1.552302837E0,-2.832223415E0
7.392063720E-1,-4.591841996E-2,-1.771227241E0,-3.031676292E0
7.442372050E-1,-1.949434429E-1,-1.939219475E0,-3.230147362E0
7.492680380E-1,-3.109933734E-1,-2.065288782E0,-3.356551647E0
7.542988720E-1,-3.759692609E-1,-2.082232475E0,-3.430642605E0
7.593297050E-1,-3.864434063E-1,-1.965989828E0,-3.476806164E0
7.643605380E-1,-3.720929623E-1,-1.707275867E0,-3.500147343E0
7.693913720E-1,-3.529331982E-1,-1.344825268E0,-3.500880718E0
7.744222050E-1,-3.335477710E-1,-9.458502531E-1,-3.455365658E0
7.794530380E-1,-3.420345485E-1,-5.296013355E-1,-3.373393536E0
7.844838720E-1,-3.398405910E-1,-1.250176430E-1,-3.274137020E0
7.895147050E-1,-3.413959742E-1,2.342333794E-1,-3.138549805E0
7.945455380E-1,-3.469270766E-1,5.575212240E-1,-2.966739655E0
7.995763720E-1,-3.468934000E-1,8.302621841E-1,-2.749262810E0
8.046072050E-1,-3.555769026E-1,1.042871118E0,-2.524350643E0
8.096380380E-1,-3.876157701E-1,1.171240211E0,-2.253801823E0
8.146688720E-1,-4.296698570E-1,1.219956160E0,-1.980550766E0
